사무명,질문
항로표지 장비·용품검사 대행기관지정(재지정),"3. 항로표지 장비·용품검사 대행기관 재지정 신청을 위해 법인등기부등본을 제출해야 하는데, 이 서류는 어떻게 발급받을 수 있나요?"
항로표지 장비·용품검사 대행기관지정(재지정),4. 항로표지 장비·용품검사 대행기관의 재지정 신청을 위해 검사시설 및 검사장비 보유현황을 작성할 때 어떤 정보를 포함해야 하나요?
항로표지 장비·용품검사 대행기관지정(재지정),"5. 항로표지 장비·용품검사 대행기관 재지정 신청을 우편으로 제출하고자 하는데, 주소는 어디로 보내야 하나요?"
항로표지 장비·용품검사 신청,"1. 해상교통 안전을 위해 항로표지 장비 검사를 받고 싶은데, 검사대행기관에 신청하려면 어떤 절차를 따라야 하나요?"
항로표지 장비·용품검사 신청,"2. 항로표지 장비·용품검사를 신청할 때, 본인이 직접 신청해야 하는지 아니면 대리인을 통해서도 가능할까요?"
항로표지 장비·용품검사 신청,"3. 항로표지 장비·용품검사 신청을 위해 필요한 서식은 어디서 받을 수 있으며, 그 서식에 어떤 정보를 기입해야 하나요?"
항로표지 장비·용품검사 신청,"4. 항로표지 장비·용품검사를 신청할 때 수수료가 없다고 들었는데, 혹시 추가 비용이 발생할 가능성은 없나요?"
항로표지 장비·용품검사 신청,"5. 항로표지 장비 검사를 신청한 후 처리 기간이 25일이라고 하는데, 이 기간 동안 어떤 절차가 진행되는지 궁금합니다."
사설항로표지 준공확인,"1. 사설항로표지를 설치한 후 준공확인을 받으려면 어떤 구비서류를 제출해야 하나요? 특히, 검사결과서와 측량성과표는 어떻게 준비해야 할까요?"
사설항로표지 준공확인,"2. 제가 설치한 사설항로표지에 대한 준공확인을 신청하고 싶은데, 신청서는 어디서 받을 수 있나요? 그리고 제출 방법은 어떤 방식이 가능한가요?"
사설항로표지 준공확인,"3. 사설항로표지 준공확인 신청 시 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성은 없는지 궁금합니다."
사설항로표지 준공확인,"4. 사설항로표지 준공확인을 위해 제출해야 하는 준공전후사진은 어떤 형식으로 준비해야 하는지, 사진의 내용에 대해 구체적인 요구사항이 있는지 알고 싶습니다."
사설항로표지 준공확인,"5. 사설항로표지 준공확인을 신청하려고 하는데, 처리 기간이 12일이라고 하던데, 이 기간은 신청서 접수 후부터 시작되는 건가요?"
침선표지 설치·관리대행 요청,"1. 침선표지 설치·관리를 요청하려고 하는데, 침몰한 선박의 위치도를 어떻게 제출해야 하나요?"
침선표지 설치·관리대행 요청,"2. 제가 소유한 선박이 좌초되어 침선표지를 설치해야 하는데, 이 요청을 위해 필요한 구비서류는 무엇인지 궁금합니다."
침선표지 설치·관리대행 요청,"3. 침선표지 설치·관리대행 요청을 위해 지방해양수산청에 방문할 경우, 어떤 절차를 따라야 하는지 알고 싶습니다."
침선표지 설치·관리대행 요청,"4. 침선표지 설치·관리대행 요청을 인터넷으로 신청하려고 하는데, 필요한 양식은 어디에서 다운로드 받을 수 있나요?"
침선표지 설치·관리대행 요청,"5. 침선표지 설치·관리 요청을 할 때, 비용이 발생하지 않는다고 들었는데, 이 점에 대해 확인할 수 있는 방법이 있을까요?"
사설항로표지 설치(현황변경) 허가,"1. 제가 운영하는 사업에 필요한 사설항로표지를 설치하고자 하는데, 설치허가를 받기 위해 제출해야 할 항로표지현황조서와 설치 위치도는 어떻게 작성해야 하나요?"
사설항로표지 설치(현황변경) 허가,"2. 기존에 설치된 사설항로표지의 위치를 변경하고 싶은데, 현황변경 허가를 신청할 때 어떤 서류를 추가로 제출해야 하는지 궁금합니다."
사설항로표지 설치(현황변경) 허가,"3. 사설항로표지를 설치하기 위해 해양수산부 항행정보정책과에 허가 신청을 하려면, 구체적으로 어떤 방식으로 접수할 수 있는지 알고 싶습니다."
사설항로표지 설치(현황변경) 허가,4. 사설항로표지의 설치허가를 받기 위해 필요한 설계도서에는 어떤 내용이 포함되어야 하는지 설명해 주실 수 있나요?
사설항로표지 설치(현황변경) 허가,"5. 사설항로표지의 현황변경 허가를 신청할 때, 수수료가 없다는 것은 어떤 의미인지, 혹시 다른 비용이 발생할 가능성은 없는지 확인하고 싶습니다."
수산업협동조합의결취소의청구등,"1. 최근 수산업협동조합의 총회에서 의결된 내용이 법령에 위배된 것 같아 의결 취소를 청구하고 싶은데, 조합원 10분의 1 이상의 동의를 어떻게 받을 수 있을까요?"
수산업협동조합의결취소의청구등,"2. 임원 선거에서 당선된 후보가 정관을 위반한 것으로 보이는데, 수산업협동조합의 의결 무효를 확인하기 위해 어떤 서류를 제출해야 하나요?"
수산업협동조합의결취소의청구등,"3. 수산업협동조합의 총회 소집 절차에 문제가 있어 의결 취소를 해양수산부장관에게 청구하려고 하는데, 청구서 작성 시 주의해야 할 사항은 무엇인가요?"
수산업협동조합의결취소의청구등,"4. 조합원으로서 수산업협동조합의 의결이나 선거에 대한 취소를 요청하려면, 의사록 사본 외에 어떤 기본서류를 제출해야 하는지 궁금합니다."
수산업협동조합의결취소의청구등,"5. 수산업협동조합의 의결이 법령에 위배된 경우, 의결일로부터 1개월 이내에 청구해야 한다고 하는데, 이 기간을 놓쳤다면 어떤 대안이 있을까요?"
신항만건설사업 준공전사용신고,"1. 신항만건설사업 준공전 사용 신고를 하려는데, 사용하고자 하는 토지의 공정현황을 어떻게 제출해야 하나요?"
신항만건설사업 준공전사용신고,2. 신항만건설사업의 준공전 사용 신고를 위해 공사감리자의 의견서를 받으려면 어떤 절차를 따라야 하나요?
신항만건설사업 준공전사용신고,3. 신항만건설사업 준공전 사용 신고를 위해 필요한 완성단계도면과 사진은 어떤 형식으로 제출해야 하나요?
신항만건설사업 준공전사용신고,"4. 신항만건설사업의 준공전 사용 신고를 방문 접수할 경우, 어떤 서류를 지참해야 하나요?"
신항만건설사업 준공전사용신고,5. 신항만건설사업 준공전 사용 신고를 위해 구비해야 하는 기본서류는 무엇인지 구체적으로 알고 싶습니다.
신항만건설사업계획승인 및 사업시행자지정,"1. 신항만건설사업계획승인을 신청하고 싶은데, 사업시행지역의 위치 및 범위를 기재한 도면은 어떻게 작성해야 하나요?"
신항만건설사업계획승인 및 사업시행자지정,"2. 신항만건설사업계획을 작성할 때, 법인등기부등본과 지적도를 제출해야 한다고 들었는데, 이 서류들은 어디에서 발급받을 수 있나요?"
신항만건설사업계획승인 및 사업시행자지정,"3. 해양수산부에 신항만건설사업계획승인 신청서를 제출하려고 하는데, 방문 접수와 우편 접수 중 어떤 방법이 더 빠른가요?"
신항만건설사업계획승인 및 사업시행자지정,4. 신항만건설사업계획승인 신청을 위한 구비서류 중 사업계획을 작성할 때 참고할 수 있는 자료가 있을까요?
신항만건설사업계획승인 및 사업시행자지정,"5. 신항만건설사업계획승인 신청 후 처리 기간이 60일이라고 하는데, 이 기간 동안 추가로 요구되는 서류가 있을 경우 어떻게 대처해야 하나요?"
공유수면 점용 사용 실시계획 변경승인(신고),"1. 공유수면 점용 사용 실시계획을 변경하려고 하는데, 변경사유 및 변경내용을 적은 서류는 어떤 형식으로 작성해야 하나요?"
공유수면 점용 사용 실시계획 변경승인(신고),"2. 공유수면 점용 사용 실시계획 변경승인을 신청할 때, 필요한 기본서류 외에 추가로 제출해야 할 서류가 있는지 궁금합니다."
공유수면 점용 사용 실시계획 변경승인(신고),"3. 공유수면 점용 사용 실시계획 변경신고를 하려면, 어떤 방법으로 접수할 수 있는지 구체적으로 알고 싶습니다."
공유수면 점용 사용 실시계획 변경승인(신고),"4. 해양수산부 연안계획과에 공유수면 점용 사용 실시계획 변경승인을 신청할 때, 처리 기간은 얼마나 걸리는지 확인하고 싶습니다."
공유수면 점용 사용 실시계획 변경승인(신고),"5. 공유수면 점용 사용 실시계획 변경승인 신청 시 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성이 있는지 알고 싶습니다."
공유수면 점용·사용 실시계획 승인(신고),"1. 공유수면 점용·사용 허가를 받은 후, 관련 공사에 착수하기 위해 실시계획 승인을 신청하려고 하는데, 어떤 구비서류를 준비해야 하나요?"
공유수면 점용·사용 실시계획 승인(신고),"2. 공유수면 점용·사용 실시계획 승인을 받기 위해 사업계획서가 필요한데, 기존에 제출한 서류와 변경된 사항이 없으면 제출하지 않아도 되나요?"
공유수면 점용·사용 실시계획 승인(신고),"3. 공유수면 점용·사용 실시계획 승인 신청 시, 공사설명서에는 어떤 내용을 포함해야 하는지 궁금합니다."
공유수면 점용·사용 실시계획 승인(신고),"4. 공유수면 점용·사용 실시계획 승인 신청을 위해 필요한 지형도는 어떤 형식으로 제출해야 하며, 구체적인 요구사항이 있나요?"
공유수면 점용·사용 실시계획 승인(신고),"5. 공유수면 점용·사용 실시계획 승인을 신청하려고 하는데, 처리 기간이 총 20일이라고 하던데, 이 기간 동안 어떤 절차가 진행되는지 설명해 주실 수 있나요?"
공유수면 매립목적 변경승인,"1. 제가 소유하고 있는 매립지의 매립목적을 변경하고 싶어서, 공유수면 매립목적 변경승인 신청서를 제출하려고 하는데, 어떤 기본서류를 준비해야 하나요?"
공유수면 매립목적 변경승인,2. 매립지의 소유권을 증명하는 서류와 함께 제출해야 하는 감정평가서는 어떻게 받아야 하는지 궁금합니다. 공유수면 매립목적 변경승인 신청을 위해 필요한 절차가 있나요?
공유수면 매립목적 변경승인,"3. 공유수면 매립목적 변경승인을 신청하려고 하는데, 변경 전후의 토지이용계획서를 작성하는 데 필요한 정보는 어디에서 확인할 수 있을까요?"
공유수면 매립목적 변경승인,4. 매립목적 변경승인 신청을 위해 구비해야 하는 서류 중에서 제세공과금 및 감정평가비에 관한 증명서류는 어떤 형식으로 제출해야 하는지 알고 싶습니다.
공유수면 매립목적 변경승인,"5. 공유수면 매립목적 변경승인을 신청할 때, 신청서 외에 어떤 서류를 함께 제출해야 하는지 자세히 알고 싶습니다."
공유수면매립실시계획 변경승인신청,"1. 공유수면 매립공사 실시계획을 변경하고자 하는데, 변경된 매립실시계획 설계도서는 어떤 형식으로 제출해야 하나요?"
공유수면매립실시계획 변경승인신청,"2. 제가 허가받은 공유수면 매립공사 실시계획의 일부를 변경하려고 하는데, 변경된 예정공정표는 어떻게 작성해야 하는지 궁금합니다."
공유수면매립실시계획 변경승인신청,3. 공유수면매립실시계획 변경승인신청을 위해 필요한 구비서류를 모두 제출했는지 확인하려면 어떻게 해야 하나요?
공유수면매립실시계획 변경승인신청,"4. 공유수면 매립공사 실시계획 변경승인을 신청할 때, 방문 접수 외에 인터넷으로도 신청이 가능한지 알고 싶습니다."
공유수면매립실시계획 변경승인신청,"5. 공유수면 매립공사 실시계획 변경승인신청을 한 후, 처리 기간이 10일이라고 하는데, 이 기간 내에 어떤 절차가 진행되는지 설명해 주실 수 있나요?"
공유수면매립실시계획 승인신청,"1. 공유수면매립실시계획 승인을 신청하려고 하는데, 사업계획서와 자금계획서를 제출해야 하는 경우 어떤 형식으로 작성해야 하나요?"
공유수면매립실시계획 승인신청,"2. 공유수면매립면허를 받은 구역을 표시한 지형도를 제출해야 하는데, 축척 2만5천분의 1의 지형도를 어떻게 구할 수 있나요?"
공유수면매립실시계획 승인신청,"3. 매립공사 설명서를 작성하려고 하는데, 공사비 산출 근거와 구조계산서를 포함해야 한다고 들었어요. 이 부분에 대한 구체적인 작성 방법이 궁금합니다."
공유수면매립실시계획 승인신청,4. 공유수면매립실시계획 승인신청을 위해 손실 보상 여부를 증명하는 서류는 어떤 형식으로 준비해야 하는지 알고 싶습니다.
공유수면매립실시계획 승인신청,5. 매립용 흙과 돌의 채취장을 확보했음을 증명하는 서류는 어떤 내용을 포함해야 하는지 궁금합니다.
공유수면매립면허(협의 · 승인)신청,"1. 공유수면 매립면허를 신청하려고 하는데, 사업계획서와 개략설계도서 외에 어떤 구비서류가 필요한지 알고 싶습니다."
공유수면매립면허(협의 · 승인)신청,"2. 제가 공유수면 매립을 위해 면허를 신청하려고 하는데, 신청구역을 표시한 2만5천분의 1의 지형도는 어떻게 준비해야 하나요?"
공유수면매립면허(협의 · 승인)신청,"3. 공유수면 매립면허를 신청할 때, 환경영향평가서 협의 내용이 필요한 경우 어떤 절차를 따라야 하는지 궁금합니다."
공유수면매립면허(협의 · 승인)신청,"4. 공동으로 공유수면 매립면허를 신청하려고 하는데, 대표자 선정 증명 서류는 어떤 형식으로 제출해야 하는지 알고 싶습니다."
공유수면매립면허(협의 · 승인)신청,"5. 공유수면 매립면허를 신청할 때, 수리계산서가 필요한 경우 어떤 내용을 포함해야 하는지 설명해 주실 수 있나요?"
공유수면 원상회복 의무면제 신청,1. 공유수면 원상회복 의무면제 신청을 하려면 신청구역을 표시한 축척 2만5천분의 1의 지형도를 어떻게 준비해야 하나요?
공유수면 원상회복 의무면제 신청,"2. 제가 공유수면 원상회복 의무자가 아닌 제3자일 경우, 원상회복 의무면제를 신청하기 위해 필요한 법인등기사항증명서는 어디서 발급받을 수 있나요?"
공유수면 원상회복 의무면제 신청,"3. 공유수면 원상회복 의무면제 신청을 위해 방문 접수할 때, 기본서류 외에 추가로 제출해야 할 서류가 있는지 궁금합니다."
공유수면 원상회복 의무면제 신청,4. 해양수산부 해양공간정책과에 공유수면 원상회복 의무면제 신청을 하려면 어떤 절차를 따라야 하는지 자세히 알고 싶습니다.
공유수면 원상회복 의무면제 신청,5. 공유수면 원상회복 의무면제 신청을 위해 제출하는 신청서의 양식은 어디에서 확인할 수 있나요?
선박멸실등 신고,"1. 제가 소유한 선박이 해체되었는데, 선박멸실등 신고를 하려면 어떤 절차를 따라야 하나요?"
선박멸실등 신고,"2. 선박이 멸실된 사실을 안 지 30일이 지났는데, 선박멸실등 신고를 여전히 할 수 있는지 궁금합니다."
선박멸실등 신고,"3. 선박멸실등 신고를 위해 필요한 서류는 선박멸실등신고서 하나뿐인가요, 아니면 추가로 제출해야 할 서류가 있나요?"
선박멸실등 신고,"4. 선박의 길이가 24미터 미만으로 줄어들었는데, 이 경우에도 선박멸실등 신고를 해야 하는지 알고 싶습니다."
선박멸실등 신고,"5. 선박멸실등 신고를 위해 지방해양수산청에 방문할 경우, 어떤 준비물을 챙겨가야 할까요?"
임시선박국적증서 발급,"1. 국외에서 선박을 취득했는데, 임시선박국적증서를 발급받기 위해 어떤 기본서류를 제출해야 하나요?"
임시선박국적증서 발급,"2. 임시선박국적증서를 신청하려고 하는데, 매매계약서 외에 추가로 필요한 서류가 있는지 궁금합니다."
임시선박국적증서 발급,"3. 임시선박국적증서를 발급받기 위해 해양수산부 해사안전정책과에 방문 신청할 때, 수수료는 어떻게 지불하나요?"
임시선박국적증서 발급,"4. 제가 국외에서 선박을 구매했는데, 임시선박국적증서를 발급받기 위한 신청서는 어디서 받을 수 있나요?"
임시선박국적증서 발급,"5. 임시선박국적증서를 발급받기 위해 필요한 서류를 준비했는데, 접수는 영사나 지방해양수산청에서만 가능한가요?"
"안전진단대행업, 안전관리 대행업 휴업(폐업)신고","1. 안전관리 대행업을 운영하고 있는데, 사업을 폐업하려면 해사안전정책과에 어떤 절차로 신고해야 하나요?"
"안전진단대행업, 안전관리 대행업 휴업(폐업)신고","2. 안전진단대행업의 사업을 휴업하고자 할 때, 필요한 서류는 무엇인지 궁금합니다."
"안전진단대행업, 안전관리 대행업 휴업(폐업)신고",3. 안전관리 대행업의 폐업 신고를 위해 세무서에 제출해야 하는 휴업·폐업신고서와 함께 제출할 서류는 무엇인지 알고 싶습니다.
"안전진단대행업, 안전관리 대행업 휴업(폐업)신고","4. 안전진단대행업을 폐업할 경우, 해양수산부에 방문하여 신고하는 절차는 어떻게 진행되는지 설명해 주실 수 있나요?"
"안전진단대행업, 안전관리 대행업 휴업(폐업)신고",5. 안전관리 대행업의 휴업 신고를 하려면 사업자등록증 외에 추가로 제출해야 할 서류는 없는지 확인하고 싶습니다.
"안전진단대행업, 안전관리대행업 합병신고","1. 안전관리대행업을 양도받은 후 합병신고를 하려는데, 합병계약서 사본 외에 어떤 서류를 추가로 제출해야 하나요?"
"안전진단대행업, 안전관리대행업 합병신고","2. 제가 안전진단대행업을 운영하고 있는데, 법인 합병 후 권리와 의무를 승계하기 위해 해사안전법에 따라 신고를 하려면 어떤 절차를 따라야 하나요?"
"안전진단대행업, 안전관리대행업 합병신고","3. 안전진단대행업과 안전관리대행업의 합병신고를 위해 지방해양수산청에 방문할 경우, 필요한 서류는 무엇인지 알고 싶습니다."
"안전진단대행업, 안전관리대행업 합병신고","4. 안전관리대행업의 영업을 양도받은 경우, 합병신고를 위해 제출해야 하는 합병계약서 사본은 어떤 형식으로 준비해야 하나요?"
"안전진단대행업, 안전관리대행업 합병신고","5. 안전진단대행업의 합병신고를 하려는데, 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성이 있는지 궁금합니다."
"안전진단대행업, 안전관리대행업 양수 양도 신고","1. 안전관리대행업을 양도받으려는 경우, 양도 양수 계약서 사본 외에 어떤 추가 서류를 제출해야 하나요?"
"안전진단대행업, 안전관리대행업 양수 양도 신고","2. 법인의 합병으로 안전진단대행업의 권리와 의무를 승계하려고 하는데, 양수인의 법인등기부등본은 어디서 발급받을 수 있나요?"
"안전진단대행업, 안전관리대행업 양수 양도 신고","3. 안전진단대행업의 양수 양도 신고를 위해 해양수산부 해사안전정책과에 방문하려고 하는데, 접수 시간은 어떻게 되나요?"
"안전진단대행업, 안전관리대행업 양수 양도 신고","4. 안전관리대행업의 영업을 양도한 후, 신고서 제출 시 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성은 없나요?"
"안전진단대행업, 안전관리대행업 양수 양도 신고",5. 안전진단대행업의 양수 양도 신고를 위해 필요한 양도 양수 계약서 사본은 어떤 형식으로 작성해야 하나요?
안전관리대행업 (변경)등록,1. 안전관리대행업의 변경등록을 하려면 어떤 구체적인 변경사유서를 제출해야 하나요?
안전관리대행업 (변경)등록,2. 안전관리대행업 등록을 위해 안전관리적합증서 사본 외에 어떤 서류를 추가로 제출해야 하는지 알고 싶습니다.
안전관리대행업 (변경)등록,"3. 안전관리대행업을 신규 등록하려고 하는데, 사업계획서에는 어떤 내용을 포함해야 하는지 궁금합니다."
안전관리대행업 (변경)등록,"4. 안전관리대행업의 변경등록을 신청할 때, 안전관리대행 선박을 변경하는 경우 어떤 서류를 제출해야 하나요?"
안전관리대행업 (변경)등록,"5. 안전관리대행업 등록을 위해 법인등기부등본을 제출해야 하는데, 이 서류는 어떻게 발급받을 수 있나요?"
선박·사업장 인증심사 이의신청,"1. 안전관리체제 인증심사 결과에 불복하여 이의신청을 하려는데, 이의신청서에 어떤 내용을 포함해야 하나요?"
선박·사업장 인증심사 이의신청,"2. 인증심사 결과 통지를 받은 지 20일이 지났는데, 선박·사업장 인증심사 이의신청을 하려면 어떤 절차를 따라야 하나요?"
선박·사업장 인증심사 이의신청,3. 해양수산부장관에게 선박·사업장 인증심사 이의신청을 하려면 방문 또는 우편 중 어떤 방법이 더 효율적인가요?
선박·사업장 인증심사 이의신청,"4. 이의신청을 위해 제출해야 하는 사유서는 어떤 형식으로 작성해야 하며, 특별한 요구사항이 있나요?"
선박·사업장 인증심사 이의신청,"5. 선박·사업장 인증심사 이의신청을 할 때 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성이 있나요?"
수산물·수산가공품 (재)검사 신청,"1. 수산물 재검사를 신청하고 싶은데, 재검사사유서 외에 어떤 기본서류를 제출해야 하는지 궁금합니다."
수산물·수산가공품 (재)검사 신청,"2. 수산물 검사를 받고자 하는데, 검사신청인으로서 제출해야 할 기준이나 규격이 명시된 서류는 어디서 구할 수 있나요?"
수산물·수산가공품 (재)검사 신청,"3. 수산가공품에 대한 검사를 신청하려고 하는데, 농수산물품질관리법 시행규칙에 따른 생산·가공일지를 어떻게 작성해야 하는지 알고 싶습니다."
수산물·수산가공품 (재)검사 신청,"4. 수산물·수산가공품 검사를 신청할 때, 접수 방법으로 인터넷을 이용하고 싶은데, 어떤 절차를 따라야 하는지 설명해 주실 수 있나요?"
수산물·수산가공품 (재)검사 신청,"5. 수산물 검사를 위해 필요한 서류를 준비하는 중인데, 검사신청서 양식은 어디에서 다운로드 받을 수 있는지 알고 싶습니다."
정부대행기관의 지정신청,"1. 해양수산부에 정부대행기관으로 지정받기 위해 인증심사업무의 범위를 포함한 사업계획서를 제출하려고 하는데, 어떤 형식으로 작성해야 하나요?"
정부대행기관의 지정신청,2. 정부대행기관 지정신청을 위해 해사안전법 시행령 제18조에 따른 지정기준에 적합함을 증명하는 서류는 어떤 내용을 포함해야 하는지 궁금합니다.
정부대행기관의 지정신청,3. 정부대행기관 지정신청을 위해 필요한 구비서류 중에서 조직 및 업무처리규정은 어떤 형식으로 제출해야 하는지 알고 싶습니다.
정부대행기관의 지정신청,"4. 해양수산부에 방문하여 정부대행기관 지정신청을 하려는데, 신청서 외에 어떤 서류를 반드시 제출해야 하는지 확인하고 싶습니다."
정부대행기관의 지정신청,"5. 정부대행기관으로 지정받기 위해 제출해야 하는 정관의 경우, 법인 등기부등본과 함께 제출해야 하는지 여부가 궁금합니다."
수산물 생산·가공시설 등록,"1. 제가 운영하는 수산물 생산·가공시설을 등록하고자 하는데, 필요한 구비서류로는 어떤 것들이 있는지 구체적으로 알려주실 수 있나요?"
수산물 생산·가공시설 등록,"2. 수산물 생산·가공시설 등록을 위해 제출해야 하는 생산, 가공시설의 구조 및 설비에 관한 도면은 어떤 형식으로 작성해야 하는지 궁금합니다."
수산물 생산·가공시설 등록,"3. 수산물 생산·가공시설 등록 시 위해요소중점관리기준(HACCP)의 이행계획서가 필요한 경우, 이행계획서는 어떻게 작성해야 하는지 안내받을 수 있을까요?"
수산물 생산·가공시설 등록,"4. 수산물 생산·가공시설 등록을 위해 수질검사성적서를 제출해야 하는데, 어떤 항목이 포함되어야 하는지 구체적으로 설명해 주실 수 있나요?"
수산물 생산·가공시설 등록,"5. 수산물 생산·가공시설 등록 신청서를 작성할 때, 농수산물 품질관리법 시행규칙 별지서식 45호를 어떻게 구하는지 알려주실 수 있나요?"
"선박 안전관리체제 (최초,갱신,중간,임시)인증심사 신청","1. 저는 선박 소유자로서 최초 인증심사를 신청하고 싶은데, 안전관리체제 인증심사를 위해 필요한 구비서류는 무엇인지 알고 싶습니다."
"선박 안전관리체제 (최초,갱신,중간,임시)인증심사 신청","2. 갱신 인증심사를 신청하려고 하는데, 선박안전관리증서 사본을 제출해야 하는지 확인하고 싶습니다. 어떤 서류를 준비해야 할까요?"
"선박 안전관리체제 (최초,갱신,중간,임시)인증심사 신청","3. 임시 인증심사를 신청할 때, 새로운 종류의 선박을 추가하는 경우 어떤 서류를 제출해야 하는지 궁금합니다. 임시안전관리적합증서 사본이 필요한가요?"
"선박 안전관리체제 (최초,갱신,중간,임시)인증심사 신청","4. 선박 안전관리체제 인증심사를 신청하기 위해 해상여객운송사업 면허증 사본을 제출해야 하는데, 이 서류가 없을 경우 어떤 대체 서류를 제출할 수 있는지 알고 싶습니다."
