기관유형,기관유형별분류,대표기관명,전체기관명,최하위기관명,대표전화번호,새우편번호,도로명주소
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청 논산지청,논산지청,1301,32930,충청남도 논산시 강경읍 계백로 99
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청 서산지청,서산지청,1301,31988,충청남도 서산시 공림4로 23
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청 천안지청,천안지청,1301,31198,충청남도 천안시 동남구 청수14로 67
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청 홍성지청,홍성지청,1301,32226,충청남도 홍성군 홍성읍 법원로 40
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 청주지방검찰청 영동지청,영동지청,1301,29150,충청북도 영동군 영동읍 영동황간로 77
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 청주지방검찰청 제천지청,제천지청,1301,27165,충청북도 제천시 칠성로 51
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 청주지방검찰청 충주지청,충주지청,1301,27357,충청북도 충주시 계명대로 101
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 부산지방검찰청 동부지청,동부지청,1301,48053,부산광역시 해운대구 재반로112번길 19
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 부산지방검찰청 서부지청,서부지청,1301,46726,부산광역시 강서구 명지국제7로 67
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청 거창지청,거창지청,1301,50129,경상남도 거창군 거창읍 죽전1길 31
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청 마산지청,마산지청,1301,51736,경상남도 창원시 마산합포구 중앙동로 21
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청 밀양지청,밀양지청,1301,50424,경상남도 밀양시 밀양대로 1993-20
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청 진주지청,진주지청,1301,52676,경상남도 진주시 진양호로 301
검찰,검찰청_지청,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청 통영지청,통영지청,1301,53029,경상남도 통영시 용남면 동달안길 65
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 의정부지방검찰청 고양지청,고양지청,1301,10413,경기도 고양시 일산동구 장백로 213
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 인천지방검찰청 부천지청,부천지청,1301,14602,경기도 부천시 상일로 127
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청 강릉지청,강릉지청,1301,25463,강원도 강릉시 동해대로 3288-17
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청 속초지청,속초지청,1301,24822,강원도 속초시 법대로 17
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청 영월지청,영월지청,1301,26228,강원도 영월군 영월읍 영월향교1길 53
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청 원주지청,원주지청,1301,26478,강원도 원주시 시청로 139
검찰,검찰청_지청,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청 성남지청,성남지청,1301,13143,경기도 성남시 수정구 산성대로 451
검찰,검찰청_지청,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청 안산지청,안산지청,1301,15472,경기도 안산시 단원구 광덕서로 73
검찰,검찰청_지청,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청 안양지청,안양지청,1301,14054,경기도 안양시 동안구 관평로212번길 52
검찰,검찰청_지청,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청 여주지청,여주지청,1301,12638,경기도 여주시 현암로 21-11
검찰,검찰청_지청,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청 평택지청,평택지청,1301,17848,경기도 평택시 평남로 1040
검찰,검찰청_지청,대검찰청,대검찰청 서울고등검찰청 의정부지방검찰청 남양주지청,남양주지청,1301,12249,경기도 남양주시 다산중앙로 82번안길 149
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 광주고용복지플러스센터,광주고용복지플러스센터,062-609-8500,61240,광주광역시 북구 금남로 121
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 광주광산고용복지플러스센터,광주광산고용복지플러스센터,062-960-3200,62328,"광주광역시 광산구 하남대로 154, 2~3층"
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 군산지청 군산고용복지플러스센터,군산고용복지플러스센터,063-450-0600,54079,전라북도 군산시 조촌로 62
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 군산지청 부안고용복지플러스센터,부안고용복지플러스센터,063-580-0501,56308,"전라북도 부안군 번영로 145, 2층 (서외 3-1)"
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 목포지청 목포고용복지플러스센터,목포고용복지플러스센터,061-280-0500,58748,전라남도 목포시 평화로 5
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 목포지청 해남고용복지플러스센터,해남고용복지플러스센터,061-530-2900,59037,전라남도 해남군 해남읍 중앙1로 61
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 여수지청 순천고용복지플러스센터,순천고용복지플러스센터,061-720-9155,57966,전라남도 순천시 충효로 147
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 여수지청 여수고용복지플러스센터,여수고용복지플러스센터,061-650-0157,59691,전라남도 여수시 웅천북로 33
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 여수지청 광양고용복지플러스센터,광양고용복지플러스센터,061-798-1917,57777,전라남도 광양시 중마로 410
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 익산지청 김제고용복지플러스센터,김제고용복지플러스센터,063-540-8400,54392,전라북도 김제시 화동길 105 김제지역자활센터 2층 
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 익산지청 익산고용복지플러스센터,익산고용복지플러스센터,063-840-6500,54619,전라북도 익산시 익산대로52길 11
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 전주지청 남원고용복지플러스센터,남원고용복지플러스센터,063-630-3900,55770,전라북도 남원시 향단로 39
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 전주지청 전주고용복지플러스센터,전주고용복지플러스센터,063-270-9100,54936,전라북도 전주시 덕진구 태진로 114
고용,고용부_고용센터,고용노동부,고용노동부 광주지방고용노동청 전주지청 정읍고용복지플러스센터,정읍고용복지플러스센터,063-530-7500,56178,전라북도 정읍시 수정택지3길 28 근로자종합복지관
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 경산고용복지플러스센터,경산고용복지플러스센터,053-667-6800,38622,"경상북도 경산시 중앙로 85, 3층~4층"
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 구미지청 구미고용복지플러스센터,구미고용복지플러스센터,054-440-3300,39281,경상북도 구미시 백산로 118 (송정동)
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 구미지청 김천고용복지플러스센터,김천고용복지플러스센터,054-429-8900,39547,경상북도 김천시 신양 2길 46 (신음동)
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구강북고용복지플러스센터,대구강북고용복지플러스센터,053-606-8000,41462,대구광역시 북구 칠곡중앙대로 318
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구고용복지플러스센터,대구고용복지플러스센터,053-667-6000,42020,대구광역시 수성구 동대구로 392
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구동부고용복지플러스센터,대구동부고용복지플러스센터,053-667-6900,41207,대구광역시 동구 아양로 22
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구서부지청 대구달성고용복지플러스센터,대구달성고용복지플러스센터,053-605-9510,42984,대구광역시 달성군 논공읍 논공중앙로34길 1 (2층)
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구서부지청 대구서부고용복지플러스센터,대구서부고용복지플러스센터,053-605-6500,41857,대구광역시 서구 서대구로 9
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 대구서부지청 칠곡고용복지플러스센터,칠곡고용복지플러스센터,054-970-1919,39890,경상북도 칠곡군 왜관읍 중앙로 146
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 안동지청 안동고용복지플러스센터,안동고용복지플러스센터,054-851-8061,36643,경상북도 안동시 경동로 400
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 영주지청 문경고용복지플러스센터,문경고용복지플러스센터,054-559-8200,36977,"경상북도 문경시 매봉1길 67 (문경시산림조합건물) 3, 4층"
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 영주지청 영주고용복지플러스센터,영주고용복지플러스센터,054-639-1122,36088,경상북도 영주시 번영로 88
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 포항지청 경주고용복지플러스센터,경주고용복지플러스센터,054-778-2500,38104,경상북도 경주시 원화로 396
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 포항지청 포항고용복지플러스센터,포항고용복지플러스센터,054-280-3000,37751,경상북도 포항시 북구 중흥로 221
고용,고용부_고용센터,고용노동부,고용노동부 대구지방고용노동청 포항지청 포항고용복지플러스센터 울진출장팀,포항고용복지플러스센터 울진출장팀,054-783-0841,36324,"경상북도 울진군 울진읍 읍내7길 10, 광명빌딩 3층"
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 공주고용센터,공주고용복지플러스센터,041-851-8501,32584,충청남도 공주시 번영1로 46
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 논산고용복지플러스센터,논산고용복지플러스센터,041-731-8600,32989,충청남도 논산시 시민로 210번길 14-8
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 대전고용복지플러스센터,대전고용복지플러스센터,042-480-6000,35262,대전광역시 서구 문정로 56
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 보령지청 보령고용복지플러스센터,보령고용복지플러스센터,041-930-6200,33474,충청남도 보령시 보령남로 28
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 서산출장소 서산고용복지플러스센터,서산고용복지플러스센터,041-661-5600,31995,충청남도 서산시 호수공원 1로 22(석남동) 5층
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 세종고용복지플러스센터,세종고용복지플러스센터,044-865-3219,30026,세종특별자치시 조치원읍 터미널안길 60
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 천안지청 천안고용복지플러스센터,천안고용복지플러스센터,041-620-7400,31110,충청남도 천안시 서북구 동서대로 163 충남타워빌딩
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 청주지청 청주고용복지플러스센터,청주고용복지플러스센터,043-230-6700,28575,충청북도 청주시 서원구 1순환로 642 월드피아오피스텔
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 청주지청 옥천고용복지플러스센터,옥천고용복지플러스센터,043-730-4100,29032,충청북도 옥천군 옥천읍 삼양로 8길 4
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 청주지청 진천고용복지센터,진천고용복지센터,043-229-0790,27871,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 4층"
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 충주지청 음성고용복지플러스센터,음성고용복지플러스센터,043-880-8600,27630,"충청북도 음성군 금왕읍 무극로 213 (승덕빌딩 2층, 5층)"
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 충주지청 제천고용복지플러스센터,제천고용복지플러스센터,043-640-9310,27184,충청북도 제천시 내토로 441
고용,고용부_고용센터,고용노동부,고용노동부 대전지방고용노동청 충주지청 충주고용복지플러스센터,충주고용복지플러스센터,043-850-4000,27428,충청북도 충주시 국원대로 13
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 부산고용복지플러스센터,부산고용복지플러스센터,051-860-1919,47209,부산광역시 부산진구 중앙대로 993
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 부산사하고용복지플러스센터,부산사하고용복지플러스센터,051-520-4900,49426,"부산광역시 사하구 낙동남로 1400, 정우헤리티지빌딩 8,9,10층(하단동)"
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 부산동부지청 부산동부고용복지플러스센터,부산동부고용복지플러스센터,051-760-7100,48267,부산광역시 수영구 수영로 676 (광안동)
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 부산북부지청 부산북부고용복지플러스센터,부산북부고용복지플러스센터,051-330-9900,46524,부산광역시 북구 화명대로 9 코스모북부산빌딩
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 양산지청 김해고용복지플러스센터,김해고용복지플러스센터,055-330-6400,50925,경상남도 김해시 호계로 441 (부원동)
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 양산지청 밀양고용복지플러스센터,밀양고용복지플러스센터,055-350-2800,50423,경상남도 밀양시 백민로 69
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 양산지청 양산고용복지플러스센터,양산고용복지플러스센터,055-379-2400,50629,경상남도 양산시 중부로 10 (중부동)
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 울산지청 울산고용복지플러스센터,울산고용복지플러스센터,052-228-1919,44717,울산광역시 남구 화합로 106 (삼산동)
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 진주지청 거창고용복지플러스센터,거창고용복지플러스센터,055-949-6589,50143,경상남도 거창읍 송정 8길 6
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 진주지청 진주고용센터,진주고용복지플러스센터,055-753-9090,52755,경상남도 진주시 진양호로 563 안성빌딩 2~4층
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 진주지청 사천고용복지센터,사천고용복지센터,055-760-6590,52517,"경상남도 사천시 사천읍 옥산로 113, 명민빌딩 4층"
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 진주지청 하동고용복지플러스센터,하동고용복지플러스센터,055-884-8219,52345,경상남도 하동군 진교면 민다리안길 61-3
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 진주지청 별관,진주지청 별관,055-763-9090,52345,경상남도 진주시 진주대로 973 (ABL생명 2층)
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 창원지청 마산고용복지플러스센터,마산고용복지플러스센터,055-259-1500,51316,경상남도 창원시 마산회원구 3·15대로 628
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 창원지청 창원고용복지플러스센터,창원고용복지플러스센터,055-239-0900,51503,경상남도 창원시 성산구 마디미서로 60
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 통영지청 거제고용복지플러스센터,거제고용복지플러스센터,055-730-1919,53252,"경상남도 거제시 서문로 5길 6, 우형빌딩 3층"
고용,고용부_고용센터,고용노동부,고용노동부 부산지방고용노동청 통영지청 통영고용복지플러스센터,통영고용복지플러스센터,055-650-1800,53016,경상남도 통영시 광도면 죽림1로 69
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울강남지청 서울강남고용복지플러스센터,서울강남고용복지플러스센터,02-3468-4794,6192,서울특별시 강남구 테헤란로 410 (대치동) 금강타워
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울고용복지플러스센터,서울고용복지플러스센터,02-2004-7301,4541,서울특별시 중구 삼일대로 363 장교빌딩
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울관악지청 서울관악고용복지플러스센터,서울관악고용복지플러스센터,02-3282-9200,8378,"서울특별시 구로구 디지털로 34길 27 대륭포스트타워 2,3층"
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울남부지청 서울강서고용복지플러스센터,서울강서고용복지플러스센터,02-2063-6700,7526,"서울특별시 강서구 양천로57길 10-10 탐라영재관 2,3층"
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울남부지청 서울남부고용센터,서울남부고용복지플러스센터,02-2639-2300,7262,서울특별시 영등포구 선유로 120
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울동부지청 서울동부고용복지플러스센터,서울동부고용복지플러스센터,02-2142-8924,5717,서울특별시 송파구 중대로 135 IT벤처타워 동관
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울북부지청 서울북부고용센터,서울북부고용센터,02-2171-1700,1762,서울특별시 노원구 노해로 450 (상계동)
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울북부지청 강북성북고용복지플러스센터,강북성북고용복지플러스센터,02-3406-0900,1161,서울특별시 강북구 도봉로 136 (미아동)
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서울서부지청 서울서부고용복지플러스센터,서울서부고용복지플러스센터,02-2077-6000,4157,"서울특별시 마포구 마포대로 63-8 (도화동) 삼창플라자 1, 4, 5, 8층"
고용,고용부_고용센터,고용노동부,고용노동부 서울지방고용노동청 서초고용센터,서초고용복지플러스센터,02-580-4900,6671,서울특별시 서초구 반포대로 43 코스모빌딩
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 강릉지청 강릉고용복지플러스센터,강릉고용복지플러스센터,033-610-1919,25528,강원도 강릉시 강릉대로 176 (구)신협건물
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 강릉지청 속초고용복지플러스센터,속초고용복지플러스센터,033-630-1919,24872,강원도 속초시 동해대로 4178
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 강릉지청 동해고용복지플러스센터,동해고용복지플러스센터,033-539-1902,25810,강원도 동해시 동해대로 4921 
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 강원지청 춘천고용복지플러스센터,춘천고용복지플러스센터,033-250-1900,24415,강원도 춘천시 퇴계농공로 9 넥서스프라자빌딩
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 경기지청 수원고용복지플러스센터,수원고용복지플러스센터,031-231-7864,16483,경기도 수원시 팔달구 경수대로 584 신동아파스텔
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 경기지청 용인고용복지플러스센터,용인고용복지플러스센터,031-289-2210,16977,경기도 용인시 기흥구 강남로 3 강남앤플러스빌딩
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 경기지청 화성고용복지플러스센터,화성고용복지플러스센터,031-290-0800,18302,경기도 화성시 봉담읍 동화길 85 이원타워
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 고양지청 고양고용복지플러스센터,고양고용복지플러스센터,031-920-3937,10364,경기도 고양시 일산동구 고봉로 32-16
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 고양지청 파주고용복지플러스센터,파주고용복지플러스센터,031-860-0401,10930,경기도 파주 중앙로 328 MH타워 8층
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 부천지청 김포고용복지플러스센터,김포고용복지플러스센터,031-999-0900,10083,경기도 김포시 김포한강4로 125 월드타워 3~5층
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 부천지청 부천고용복지플러스센터,부천고용복지플러스센터,032-320-8900,14530,경기도 부천시 길주로 351 뉴월드빌딩
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 성남지청 경기광주고용복지플러스센터,경기광주고용복지플러스센터,031-799-2760,12757,경기도 광주시 광주대로 62
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 성남지청 성남고용복지플러스센터,성남고용복지플러스센터,031-739-3177,13627,경기도 성남시 분당구 성남대로 146
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 성남지청 이천고용복지플러스센터,이천고용복지플러스센터,031-644-3820,17356,경기도 이천시 이섭대천로 1309 원빌딩
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 성남지청 하남고용복지플러스센터,하남고용복지플러스센터,031-730-7000,12919,경기도 하남시 미사강변대로 52
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 안산지청 시흥고용복지플러스센터,시흥고용복지플러스센터,031-496-1900,15049,경기도 시흥시 마유로418번길 18
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 안산지청 안산고용복지플러스센터,안산고용복지플러스센터,031-412-6600,15357,경기도 안산시 단원구 원고잔로 11
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 안양지청 광명고용복지플러스센터,광명고용복지플러스센터,02-2680-1500,14216,경기도 광명시 시청로 15 힐팰리스
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 안양지청 안양고용복지플러스센터,안양고용복지플러스센터,031-463-0700,14001,경기도 안양시 만안구 안양로 303 매쎄타워
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 안양지청 의왕고용복지플러스센터,의왕고용복지플러스센터,031-463-7460,16004,경기도 의왕시 안양판교로 89 2층
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 영월출장소 영월고용복지플러스센터,영월고용복지플러스센터,033-371-6260,26232,강원도 영월군 영월읍 단종로 8
고용,고용부_고용센터,고용노동부,고용노동부 중부지방고용노동청 원주지청 원주고용복지플러스센터,원주고용복지플러스센터,033-769-0900,26448,"강원도 원주시 서원대로 383 한신프라자, 2~3층"
