사무명,질문
가족관계등록부등의 증명서 발급,"5. 가족관계등록부등의 증명서를 발급받기 위해 대법원에 방문할 경우, 어떤 절차를 따라야 하는지 설명해 주실 수 있나요?"
건물등기사항증명서 발급,1. 제가 소유한 건물에 대한 권리관계를 확인하고 싶어서 건물등기사항증명서를 발급받으려면 어떤 절차를 따라야 하나요?
건물등기사항증명서 발급,"2. 인터넷을 통해 건물등기사항증명서를 발급받고 싶은데, 대법원 인터넷등기소에서 어떤 정보를 입력해야 하나요?"
건물등기사항증명서 발급,"3. 방문하여 건물등기사항증명서를 신청하고자 하는데, 수수료가 얼마인지 정확히 알고 싶습니다."
건물등기사항증명서 발급,4. 무인발급기를 이용해 건물등기사항증명서를 발급받으려면 어떤 방식으로 진행해야 하는지 궁금합니다.
건물등기사항증명서 발급,"5. 건물등기사항증명서를 발급받기 위해 필요한 서류는 따로 없다고 하셨는데, 그럼 어떤 정보를 준비해야 하는지 설명해 주실 수 있나요?"
토지등기사항증명서 발급,"1. 최근에 구매한 토지에 대한 권리관계를 확인하고 싶어서 토지등기사항증명서를 발급받으려고 하는데, 대법원 인터넷등기소에서 어떻게 신청하면 되나요?"
토지등기사항증명서 발급,"2. 토지등기사항증명서를 발급받기 위해 방문신청을 하려는데, 수수료가 얼마인지 알고 싶습니다."
토지등기사항증명서 발급,3. 무인발급기를 이용해서 토지등기사항증명서를 발급받으려면 어떤 절차를 따라야 하는지 궁금합니다.
토지등기사항증명서 발급,4. 인터넷을 통해 토지등기사항증명서를 발급받을 경우 수수료는 얼마인지 확인하고 싶습니다.
토지등기사항증명서 발급,5. 토지등기사항증명서를 발급받기 위해 필요한 구비서류가 있는지 알고 싶습니다.
법인등기사항증명서 발급,"1. 법인등기사항증명서를 발급받고 싶은데, 방문신청 시 수수료가 얼마인지 알고 싶습니다."
법인등기사항증명서 발급,2. 법인등기사항증명서를 인터넷으로 발급받으려면 어떤 절차를 따라야 하는지 궁금합니다.
법인등기사항증명서 발급,"3. 합자조합에 관한 등기사항증명서를 발급받고 싶은데, 특별히 필요한 서류가 있는지 알고 싶습니다."
법인등기사항증명서 발급,4. 법인등기사항증명서의 등기사항전부증명서와 일부증명서의 차이가 무엇인지 설명해 주실 수 있나요?
법인등기사항증명서 발급,"5. 법인등기사항증명서를 발급받기 위해 대법원 인터넷등기소에 접속할 때, 어떤 정보가 필요한지 궁금합니다."
천연기념물 · 명승의 소재지(보관장소) 변경신고,"1. 제가 소유하고 있는 천연기념물의 소재지 변경을 신고하려고 하는데, 변경사실을 증명하는 서류로 어떤 사진이나 도면을 제출해야 하나요?"
천연기념물 · 명승의 소재지(보관장소) 변경신고,"2. 천연기념물의 보관장소가 변경되었는데, 이 변경사항을 신고하기 위해서는 어떤 절차를 따라야 하는지 궁금합니다."
천연기념물 · 명승의 소재지(보관장소) 변경신고,"3. 천연기념물의 소재지 변경신고를 하려면 국가유산청 동식물유산과에 방문해야 하는데, 접수 후 처리 기간은 얼마나 걸리나요?"
천연기념물 · 명승의 소재지(보관장소) 변경신고,"4. 천연기념물의 소재지 지명이나 지번이 변경되었을 때, 신고를 위해 필요한 서류가 사진이나 도면 외에 다른 것은 없는지 알고 싶습니다."
천연기념물 · 명승의 소재지(보관장소) 변경신고,5. 천연기념물의 보관장소 변경신고를 위해 제출해야 하는 신고서 양식은 어디서 받을 수 있나요?
천연기념물 · 명승의 소유자등 변경신고,"1. 제가 소유하고 있는 천연기념물의 소유자 정보가 변경되었는데, 이를 신고하기 위해 매매계약서를 제출해야 하는지 궁금합니다."
천연기념물 · 명승의 소유자등 변경신고,"2. 천연기념물의 소유자 성명이 변경되었을 때, 소속된 동식물유산과에 어떤 방식으로 신고를 해야 하는지 알고 싶습니다."
천연기념물 · 명승의 소유자등 변경신고,"3. 천연기념물의 주소가 변경되었을 경우, 국가유산청에 방문하여 신고를 하려면 어떤 절차를 따라야 하는지 설명해 주실 수 있나요?"
천연기념물 · 명승의 소유자등 변경신고,"4. 천연기념물의 소유자 변경 신고를 위해 필요한 서류가 매매계약서 하나뿐인지, 추가로 제출해야 할 서류가 있는지 궁금합니다."
천연기념물 · 명승의 소유자등 변경신고,"5. 천연기념물 소유자 변경 신고를 위해 국가유산청에 우편으로 신청할 때, 신고서 양식은 어디에서 받을 수 있는지 알고 싶습니다."
천연기념물 · 명승의 멸실·유실·도난·훼손 신고,"1. 제가 살고 있는 지역의 천연기념물이 훼손된 것을 발견했는데, 이 경우 천연기념물의 멸실·유실·도난·훼손 신고서를 어떻게 작성해야 하나요?"
천연기념물 · 명승의 멸실·유실·도난·훼손 신고,"2. 최근에 천연기념물의 일부가 도난당한 것을 확인했는데, 국가유산청 동식물유산과에 신고하기 위해 필요한 사진은 어떤 내용을 담아야 하나요?"
천연기념물 · 명승의 멸실·유실·도난·훼손 신고,3. 천연기념물의 훼손 신고를 하려면 방문 접수와 우편 접수 중 어떤 방법이 더 빠른 처리 결과를 받을 수 있을까요?
천연기념물 · 명승의 멸실·유실·도난·훼손 신고,"4. 천연기념물의 멸실 신고를 하려면 수수료가 없다고 들었는데, 이와 관련된 법령은 어떤 것이 있는지 알고 싶습니다."
천연기념물 · 명승의 멸실·유실·도난·훼손 신고,"5. 제가 발견한 천연기념물의 유실 사실을 신고하려고 하는데, 대리인을 통해서도 신고가 가능한지 궁금합니다."
천연기념물 · 명승의 관리자 선임(해임) 신고,"1. 제가 소유한 천연기념물의 관리자를 새로 선임하려고 하는데, 어떤 절차를 통해 신고를 해야 하나요?"
천연기념물 · 명승의 관리자 선임(해임) 신고,"2. 천연기념물 관리자를 해임하고 싶습니다. 이 경우에도 별도의 서류가 필요한가요, 아니면 신고서만 제출하면 되나요?"
천연기념물 · 명승의 관리자 선임(해임) 신고,"3. 천연기념물 관리자를 선임하기 위해 국가유산청에 방문할 때, 어떤 정보를 준비해야 할까요?"
천연기념물 · 명승의 관리자 선임(해임) 신고,"4. 천연기념물 관리자를 선임하는 신고를 우편으로 제출하려면, 신고서 외에 추가로 필요한 서류가 있는지 궁금합니다."
천연기념물 · 명승의 관리자 선임(해임) 신고,"5. 천연기념물의 관리자를 선임하는 신고를 할 때, 수수료가 없다고 하셨는데, 이와 관련된 다른 비용이 발생할 가능성은 없나요?"
천연기념물 · 명승 공개 제한지역 출입허가신청,"1. 천연기념물 공개 제한지역에 대한 학술연구를 진행하고 싶은데, 출입허가신청을 위해 필요한 학술연구 계획서는 어떻게 작성해야 하나요?"
천연기념물 · 명승 공개 제한지역 출입허가신청,"2. 명승 지역에 대한 관리실태 조사를 위해 출입허가를 신청하려고 하는데, 신청서는 어디에서 받을 수 있나요?"
천연기념물 · 명승 공개 제한지역 출입허가신청,"3. 천연기념물 출입허가신청을 위해 방문 접수할 때, 어떤 서류를 준비해야 하는지 궁금합니다."
천연기념물 · 명승 공개 제한지역 출입허가신청,"4. 명승 지역의 출입허가를 신청하려고 하는데, 대리인으로 신청할 경우 어떤 절차를 따라야 하나요?"
천연기념물 · 명승 공개 제한지역 출입허가신청,"5. 천연기념물 공개 제한지역에 대한 출입허가신청을 할 때, 수수료가 없다고 들었는데, 이 점에 대해 확인할 수 있을까요?"
천연기념물 국외 반출 허가신청,"1. 천연기념물을 국외에서 전시하기 위해 허가신청을 하려는데, 전시계획서에 포함해야 할 구체적인 내용은 무엇인가요?"
천연기념물 국외 반출 허가신청,"2. 천연기념물의 소유자로서, 국외 반출 허가신청을 위해 필요한 동의서를 어떻게 작성해야 하는지 궁금합니다."
천연기념물 국외 반출 허가신청,"3. 천연기념물 국외 반출 허가신청을 위해 보험증서 사본을 제출해야 하는데, 어떤 종류의 보험이 필요한지 알고 싶습니다."
천연기념물 국외 반출 허가신청,4. 천연기념물 국외 반출 허가신청을 하려면 신청서를 어디서 다운로드 받을 수 있는지 안내받고 싶습니다.
천연기념물 국외 반출 허가신청,"5. 천연기념물의 국외 반출 허가신청 처리 기간이 90일이라고 하는데, 이 기간 동안 신청 상태를 어떻게 확인할 수 있나요?"
천연기념물 국외 반출 기간 연장 허가신청,"1. 천연기념물을 국외에서 전시하기 위해 반출 기간 연장을 신청하려고 하는데, 필요한 구비서류는 어떤 것들이 있나요?"
천연기념물 국외 반출 기간 연장 허가신청,"2. 천연기념물의 국외 반출 기간 연장 허가신청을 위해 보험증서 사본을 제출해야 하는데, 이 보험증서는 어떤 내용을 포함해야 하나요?"
천연기념물 국외 반출 기간 연장 허가신청,"3. 천연기념물의 소유자로서 국외 반출 기간 연장을 신청하려고 하는데, 소유자 동의서는 어떻게 작성해야 하나요?"
천연기념물 국외 반출 기간 연장 허가신청,"4. 문화교류 목적으로 천연기념물의 국외 반출 기간을 연장하고 싶은데, 신청서를 어디에서 다운로드 받을 수 있나요?"
천연기념물 국외 반출 기간 연장 허가신청,"5. 천연기념물의 국외 반출 기간 연장 허가신청을 위해 전시계획서를 제출해야 하는데, 전시계획서에 포함해야 할 구체적인 내용은 무엇인가요?"
천연기념물 국내 반입 신고,"1. 천연기념물을 국외에서 전시한 후 다시 국내로 반입하려고 하는데, 반입사실을 확인할 수 있는 서류는 어떤 것이 필요한가요?"
천연기념물 국내 반입 신고,"2. 천연기념물 국내 반입 신고를 하려면 반드시 본인이 직접 신청해야 하나요, 아니면 대리인도 가능하나요?"
천연기념물 국내 반입 신고,"3. 천연기념물 국내 반입 신고를 위해 인터넷으로 신청할 때, 어떤 양식을 사용해야 하는지 궁금합니다."
천연기념물 국내 반입 신고,4. 천연기념물 반입 신고를 위해 제출해야 하는 반입사실 확인 서류는 어떤 형식이어야 하는지 알고 싶습니다.
천연기념물 국내 반입 신고,"5. 천연기념물 국내 반입 신고를 할 때 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성이 있는지 확인하고 싶습니다."
자연유산 조사 등으로 인한 손실보상 신청,"1. 자연유산 조사로 인해 개인 소유의 토지가 손실을 입었는데, 손실보상 신청을 하려면 어떤 서류를 제출해야 하나요?"
자연유산 조사 등으로 인한 손실보상 신청,"2. 자연유산 보존을 위한 행정명령으로 인해 상업적 활동에 피해를 보았는데, 손실보상 신청은 어떻게 진행해야 하나요?"
자연유산 조사 등으로 인한 손실보상 신청,3. 국가유산청 동식물유산과에 자연유산 조사로 인한 손실보상 신청을 하려면 방문 접수 외에 우편으로도 가능하나요?
자연유산 조사 등으로 인한 손실보상 신청,4. 손실보상 신청을 위해 필요한 손실을 증명할 수 있는 서류는 어떤 것들이 있는지 궁금합니다.
자연유산 조사 등으로 인한 손실보상 신청,"5. 자연유산의 보존 및 활용에 관한 법률에 따라 손실보상 신청을 했을 때, 처리 기간은 얼마나 걸리나요?"
천연기념물 동물·식물·광물의 반입 신고,"1. 천연기념물 동물의 반입 신고를 하려는데, 반입사실을 확인할 수 있는 서류는 어떤 종류가 필요한가요?"
천연기념물 동물·식물·광물의 반입 신고,"2. 천연기념물 식물을 보호구역에서 반출한 후 다시 반입하려고 하는데, 신고는 어떻게 진행해야 하나요?"
천연기념물 동물·식물·광물의 반입 신고,"3. 천연기념물 광물의 반입 신고를 위해 방문 접수할 경우, 어떤 절차를 따라야 하는지 궁금합니다."
천연기념물 동물·식물·광물의 반입 신고,4. 천연기념물 동물·식물·광물의 반입 신고를 대리인 신청으로 진행하려면 어떤 조건을 충족해야 하나요?
천연기념물 동물·식물·광물의 반입 신고,5. 천연기념물 반입 신고를 위해 제출해야 하는 반입사실 확인 서류는 어디서 발급받을 수 있는지 알고 싶습니다.
문화재 관람료 감면 비용 지원 신청,"1. 국가지정유산의 소유자로서 문화재 관람료를 감면했는데, 감면 비용 지원 신청을 위해 어떤 자료를 제출해야 하나요?"
문화재 관람료 감면 비용 지원 신청,2. 문화재 관람료 감면 비용 지원 신청을 하려면 최근 3년간 관람객 수를 증명할 수 있는 자료 외에 어떤 추가 자료가 필요한가요?
문화재 관람료 감면 비용 지원 신청,"3. 문화재 관람료 감면 비용 지원 신청을 위해 필요한 서류를 준비했는데, 국가유산청에 방문해서 제출할 때 어떤 절차를 따라야 하나요?"
문화재 관람료 감면 비용 지원 신청,4. 문화재 관람료 감면 비용 지원 신청을 하려면 인터넷 접수와 방문 접수 중 어떤 방법이 더 간편한지 알고 싶습니다.
문화재 관람료 감면 비용 지원 신청,5. 문화재 관람료 감면 비용 지원 신청을 위해 작성해야 하는 신청서의 양식은 어디에서 다운로드 받을 수 있나요?
영주귀국·정착 및 생활안정 지원 신청 철회,"1. 영주귀국·정착 및 생활안정 지원 신청을 철회하고 싶은데, 어떤 서류를 제출해야 하는지 궁금합니다."
영주귀국·정착 및 생활안정 지원 신청 철회,"2. 영주귀국·정착 및 생활안정 지원 신청 철회를 위해 방문 접수할 경우, 재외동포청의 어떤 부서에 가야 하나요?"
영주귀국·정착 및 생활안정 지원 신청 철회,"3. 영주귀국·정착 및 생활안정 지원 신청 철회서를 작성할 때, 별지서식 3호를 어디서 받을 수 있는지 알고 싶습니다."
영주귀국·정착 및 생활안정 지원 신청 철회,"4. 영주귀국·정착 및 생활안정 지원 신청을 철회하려고 하는데, 대리인을 통해 신청할 수 있는지 확인하고 싶습니다."
영주귀국·정착 및 생활안정 지원 신청 철회,"5. 영주귀국·정착 및 생활안정 지원 신청 철회에 대한 처리 기간이 25일이라고 하는데, 이 기간은 어떻게 나누어지는지 자세히 알고 싶습니다."
국가보훈대상자 주택 우선 공급 신청,"1. 국가보훈대상자로서 주택 우선 공급 신청을 하려는데, 무주택증명서류는 어떻게 준비해야 하나요?"
국가보훈대상자 주택 우선 공급 신청,"2. 주택 우선 공급 신청을 위해 소득·재산 신고서를 제출해야 하는데, 이 서식은 어디서 받을 수 있나요?"
국가보훈대상자 주택 우선 공급 신청,3. 국가보훈부 생활안정과에 주택 우선 공급 신청을 하려면 어떤 구비서류를 모두 제출해야 하는지 알고 싶습니다.
국가보훈대상자 주택 우선 공급 신청,4. 주택 우선 공급 신청을 위해 필요한 금융정보 제공 동의서는 어떤 형식으로 작성해야 하는지 궁금합니다.
국가보훈대상자 주택 우선 공급 신청,5. 국가보훈대상자로서 주택 우선 공급 신청을 하려면 주민등록표 등·초본 외에 어떤 공무원 확인사항이 필요한가요?
"대부사실확인원 발급 신청(국가유공자, 제대군인, 5·18민주유공자, 특수임무유공자 등)",1. 국가유공자인 제가 대부사실확인원을 발급받으려면 어떤 절차를 따라야 하나요?
"대부사실확인원 발급 신청(국가유공자, 제대군인, 5·18민주유공자, 특수임무유공자 등)",2. 제대군인으로서 대부사실확인원 발급 신청을 하려면 방문과 인터넷 중 어떤 방법이 더 편리한가요?
"대부사실확인원 발급 신청(국가유공자, 제대군인, 5·18민주유공자, 특수임무유공자 등)","3. 대부사실확인원을 신청할 때 대리인이 대신 신청할 수 있는지, 그리고 그 경우 어떤 조건이 필요한지 궁금합니다."
"대부사실확인원 발급 신청(국가유공자, 제대군인, 5·18민주유공자, 특수임무유공자 등)","4. 대부사실확인원 발급 신청 시 수수료가 없다고 들었는데, 이 점에 대해 더 자세히 설명해 주실 수 있나요?"
"대부사실확인원 발급 신청(국가유공자, 제대군인, 5·18민주유공자, 특수임무유공자 등)","5. 대부사실확인원을 발급받기 위해 국가보훈부에 방문할 경우, 특별히 준비해야 할 서류가 있는지 알고 싶습니다."
참전유공자(국가유공자) 확인,"1. 저는 참전유공자인지 확인하고 싶은데, 국가보훈부의 등록관리과에 어떻게 방문 신청을 해야 하나요?"
참전유공자(국가유공자) 확인,"2. 참전유공자 확인을 위해 대리인이 신청할 수 있는지 궁금한데, 대리인 신청 시 필요한 절차가 있나요?"
참전유공자(국가유공자) 확인,"3. 참전유공자 확인을 인터넷으로 신청하고 싶은데, 어떤 방법으로 접속해야 하는지 안내받을 수 있을까요?"
참전유공자(국가유공자) 확인,"4. 참전유공자 확인을 위해 별도의 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성은 없나요?"
참전유공자(국가유공자) 확인,"5. 제가 참전유공자임을 확인받기 위해 필요한 구비서류가 없다면, 어떤 절차로 진행해야 하나요?"
사망일시금 등 수시 보훈급여금 대리수령인 지정 신청,"1. 예금계좌 압류로 인해 사망일시금의 대리수령인을 지정하려고 하는데, 필요한 구비서류는 무엇인지 구체적으로 알고 싶습니다."
사망일시금 등 수시 보훈급여금 대리수령인 지정 신청,2. 사망일시금 대리수령인 지정 신청을 위해 보훈급여금 등 지급업무처리 지침에 따라 어떤 신청서를 작성해야 하는지 궁금합니다.
사망일시금 등 수시 보훈급여금 대리수령인 지정 신청,"3. 수급권자가 사망일시금의 대리수령인을 지정할 경우, 대리수령인의 신분증 외에 어떤 추가 서류가 필요한지 확인하고 싶습니다."
사망일시금 등 수시 보훈급여금 대리수령인 지정 신청,4. 사망일시금 대리수령인 지정 신청을 위해 제출해야 하는 대리수령 지정 사유 증빙서류는 어떤 형식으로 준비해야 하는지 알고 싶습니다.
사망일시금 등 수시 보훈급여금 대리수령인 지정 신청,"5. 사망일시금의 대리수령인 지정 신청을 위해 보훈(지)청에 방문할 때, 어떤 절차를 따라야 하는지 안내받고 싶습니다."
약제비용 지급 신청(위탁병원 감면대상자),"1. 비상이국가유공자인 제가 위탁병원에서 발행한 처방전으로 원외 약국에서 약제를 구입했는데, 약제비용 지급 신청을 하려면 어떤 절차를 따라야 하나요?"
약제비용 지급 신청(위탁병원 감면대상자),"2. 제가 위탁병원 감면대상자로서 약제비용 지급 신청을 하려는데, 필요한 구비서류는 예금통장 사본 외에 다른 것이 있나요?"
약제비용 지급 신청(위탁병원 감면대상자),"3. 약제비용 지급 신청을 위해 국가보훈부 보훈의료서비스기획과에 방문하려고 하는데, 접수는 어떤 방식으로 이루어지나요?"
약제비용 지급 신청(위탁병원 감면대상자),"4. 위탁병원에서 처방받은 약제비용을 지급받기 위해 약제비용 지급 신청서를 작성해야 하는데, 이 신청서는 어디서 받을 수 있나요?"
약제비용 지급 신청(위탁병원 감면대상자),"5. 약제비용 지급 신청을 하고 나서 처리 기간이 7일이라고 들었는데, 이 기간 내에 지급이 이루어지지 않으면 어떻게 해야 하나요?"
중앙손상관리센터 설치·운영 위탁 신청,"1. 중앙손상관리센터 설치·운영 위탁 신청을 위해 필요한 구비서류 중에서, 설치기준을 증명하는 서류는 어떤 형식으로 제출해야 하나요?"
중앙손상관리센터 설치·운영 위탁 신청,"2. 중앙손상관리센터 설치·운영을 위탁받고자 하는 기관으로서, 사업운용계획서를 작성할 때 포함해야 할 주요 내용은 무엇인지 알고 싶습니다."
중앙손상관리센터 설치·운영 위탁 신청,"3. 중앙손상관리센터 설치·운영 위탁 신청을 위해 방문 접수할 경우, 질병관리청의 어떤 부서에 가야 하는지 안내받을 수 있을까요?"
중앙손상관리센터 설치·운영 위탁 신청,4. 중앙손상관리센터 설치·운영 위탁 신청을 위해 제출해야 하는 신청서 양식은 어디에서 다운로드 받을 수 있는지 궁금합니다.
중앙손상관리센터 설치·운영 위탁 신청,"5. 중앙손상관리센터 설치·운영 위탁 신청 후 처리 기간이 60일이라고 하는데, 이 과정에서 추가적인 협의가 필요한 경우는 어떻게 진행되나요?"
민방위경보전파책임자 지정ㆍ변경 신고,"1. 대규모 점포를 운영하고 있는데, 민방위경보전파책임자를 지정하려면 어떤 절차를 따라야 하나요?"
민방위경보전파책임자 지정ㆍ변경 신고,"2. 영화상영관을 관리하고 있는데, 민방위경보전파책임자 변경 신고를 위해 필요한 서류가 있나요?"
민방위경보전파책임자 지정ㆍ변경 신고,"3. 민방위경보전파책임자 지정 신고를 인터넷으로 진행하고 싶은데, 어떤 방법으로 신청할 수 있는지 궁금합니다."
민방위경보전파책임자 지정ㆍ변경 신고,4. 운수시설의 관리주체로서 민방위경보전파책임자를 지정하는 데 수수료가 발생하는지 알고 싶습니다.
민방위경보전파책임자 지정ㆍ변경 신고,"5. 민방위경보전파책임자 지정 신고를 위해 방문 접수할 때, 특별히 준비해야 할 사항이 있는지요?"
소방기술과 관련된 자격·학력 및 경력의 인정 업무,"1. 소방기술 인정 자격수첩을 발급받기 위해 필요한 구비서류 중 국가기술자격증 확인서는 신청일 기준 90일 이내에 발급받아야 한다고 하는데, 이 서류를 발급받는 방법은 무엇인가요?"
소방기술과 관련된 자격·학력 및 경력의 인정 업무,"2. 소방기술 경력수첩을 발급받기 위해 제출해야 하는 경력확인서에 대해, 근무처별로 작성해야 한다고 하는데, 이때 대표자의 확인을 받는 방법은 어떻게 되나요?"
소방기술과 관련된 자격·학력 및 경력의 인정 업무,"3. 소방기술 인정 자격수첩과 경력수첩을 발급받기 위해 신청할 경우, 수수료는 어떻게 책정되며, 구체적인 금액은 어디에서 확인할 수 있나요?"
소방기술과 관련된 자격·학력 및 경력의 인정 업무,"4. 소방기술 경력수첩을 변경 신고하려고 하는데, 필요한 서류 중 교육 및 상훈·제재 사항 증명서류는 어떤 내용을 포함해야 하나요?"
소방기술과 관련된 자격·학력 및 경력의 인정 업무,"5. 소방기술 인정 자격수첩과 경력수첩을 발급받기 위해 신청서를 제출할 때, 접수 방법으로 방문, 우편, 인터넷 중 어떤 방법이 가장 빠른 처리 결과를 받을 수 있나요?"
소방시설업 휴업.폐업 등의 신고,"1. 소방시설업을 휴업하려고 하는데, 등록증과 등록수첩 외에 어떤 서류를 제출해야 하나요?"
소방시설업 휴업.폐업 등의 신고,"2. 소방시설업을 폐업하려고 하는데, 건강보험자격취득 확인서와 국민연금가입자 증명서가 필요한가요?"
소방시설업 휴업.폐업 등의 신고,"3. 소방시설업을 재개업하려고 하는데, 국가기술자격증 외에 어떤 서류를 제출해야 하는지 궁금합니다."
소방시설업 휴업.폐업 등의 신고,"4. 소방시설업의 휴업 신고를 하려면 소방산업과에 방문해야 하는지, 아니면 우편이나 인터넷으로도 가능할까요?"
소방시설업 휴업.폐업 등의 신고,"5. 소방시설업을 폐업할 때 수수료가 없다고 들었는데, 혹시 다른 비용이 발생할 가능성은 없는지 알고 싶습니다."
"연안체험활동 (계획, 변경) 신고","1. 연안체험활동을 운영하고 있는데, 안전관리 계획서를 작성하여 해양경찰서에 신고하려면 어떤 구비서류가 필요한가요?"
"연안체험활동 (계획, 변경) 신고","2. 연안체험활동의 안전관리 계획서를 변경 신고하려고 하는데, 변경사유서 외에 어떤 서류를 추가로 제출해야 하나요?"
"연안체험활동 (계획, 변경) 신고",3. 연안체험활동 운영자로서 안전교육을 이수했음을 증명하는 서류는 어떤 형식으로 제출해야 하는지 궁금합니다.
"연안체험활동 (계획, 변경) 신고",4. 연안체험활동을 위해 필요한 보험 가입 사실을 증명하는 서류는 어떤 내용을 포함해야 하는지 알고 싶습니다.
"연안체험활동 (계획, 변경) 신고","5. 연안체험활동 안전관리 계획서를 신고할 때, 해양경찰서에 방문하여 제출해야 하는지 아니면 인터넷으로도 가능할까요?"
(연안체험활동)안전교육 신청,"1. 연안체험활동을 위한 안전교육을 신청하고 싶은데, 별지 제1호서식의 안전교육 신청서를 어디에서 받을 수 있나요?"
(연안체험활동)안전교육 신청,"2. 해양경찰청에 연안체험활동 안전교육 신청서를 제출하려고 하는데, 수수료는 어떻게 계산되며, 시간당 8,000원은 어떤 기준으로 적용되나요?"
(연안체험활동)안전교육 신청,"3. 안전교육을 받기 위해 해양안전과에 방문 신청을 하려면, 별지 제1호서식의 안전교육 신청서 외에 다른 서류가 필요한가요?"
